course_id,course_name,department,credits,time_slot,classroom,instructor,description,prerequisites,max_students,current_enrollment
"004 M0130_01","研究生線上英文三","AdvEng","","TBA","TBA","TBA","英文名稱: Online English for Postgraduates (Ⅲ) | 選課說明: 3 | 備註: 0","無","",""
"004 M0140_01","研究生線上英文四(人文社科)","AdvEng","","TBA","TBA","TBA","英文名稱: Online English for Postgraduates Iv (humanities and Social Sciences) | 選課說明: 3 | 備註: 0","無","",""
"004 M0150_01","研究生線上英文四-科技與醫學","AdvEng","","TBA","TBA","TBA","英文名稱: Online English for Postgraduates 4: Science, Technology, and Medicine | 選課說明: 3 | 備註: 0","無","",""
"004 M0160_01","研究生線上英文四-經濟與商業","AdvEng","","TBA","TBA","TBA","英文名稱: Online English for Postgraduates 4 :economics and Business | 選課說明: 3 | 備註: 0","無","",""
"005 04220_1","服務學習二社會服務","StuAct","","TBA","TBA","闕河嘉","英文名稱: Service Learning (Ⅱ) Social Service | 選課說明: 1 | 備註: 0","無","",""
"005 04220_2","服務學習二社會服務","StuAct","","TBA","TBA","彭文正","英文名稱: Service Learning (Ⅱ) Social Service | 選課說明: 1 | 備註: 0","無","",""
"005 04220_4","服務學習二社會服務","StuAct","","TBA","TBA","熊秉荃","英文名稱: Service Learning (Ⅱ) Social Service | 選課說明: 1 | 備註: 0","無","",""
"005 04220_5","服務學習二社會服務","StuAct","","TBA","TBA","李雅玲","英文名稱: Service Learning (Ⅱ) Social Service | 選課說明: 2 | 備註: 0","無","",""
"005 04220_6","服務學習二社會服務","StuAct","","TBA","TBA","雷庚玲","英文名稱: Service Learning (Ⅱ) Social Service | 選課說明: 2 | 備註: 0","無","",""
"005 04220_7","服務學習二社會服務","StuAct","","TBA","TBA","廖婉君","英文名稱: Service Learning (Ⅱ) Social Service | 選課說明: 2 | 備註: 0","無","",""
"005 04220_8","服務學習二社會服務","StuAct","","TBA","TBA","楊培珊","英文名稱: Service Learning (Ⅱ) Social Service | 選課說明: 2 | 備註: 0","無","",""
"005 04220_9","服務學習二社會服務","StuAct","","TBA","TBA","陳明賢","英文名稱: Service Learning (Ⅱ) Social Service | 選課說明: 2 | 備註: 0","無","",""
"005 04330_1","服務學習三社會服務","StuAct","","TBA","TBA","闕河嘉","英文名稱: Service Learning (Ⅲ) Social Service | 選課說明: 1 | 備註: 0","無","",""
"005 04330_3","服務學習三社會服務","StuAct","","TBA","TBA","熊秉荃","英文名稱: Service Learning (Ⅲ) Social Service | 選課說明: 1 | 備註: 0","無","",""
"005 04330_4","服務學習三社會服務","StuAct","","TBA","TBA","李雅玲","英文名稱: Service Learning (Ⅲ) Social Service | 選課說明: 2 | 備註: 0","無","",""
"005 04330_5","服務學習三社會服務","StuAct","","TBA","TBA","雷庚玲","英文名稱: Service Learning (Ⅲ) Social Service | 選課說明: 2 | 備註: 0","無","",""
"005 04330_6","服務學習三社會服務","StuAct","","TBA","TBA","張文亮","英文名稱: Service Learning (Ⅲ) Social Service | 選課說明: 2 | 備註: 0","無","",""
"005 04330_7","服務學習三社會服務","StuAct","","TBA","TBA","廖婉君","英文名稱: Service Learning (Ⅲ) Social Service | 選課說明: 2 | 備註: 0","無","",""
"005 04330_8","服務學習三社會服務","StuAct","","TBA","TBA","楊培珊","英文名稱: Service Learning (Ⅲ) Social Service | 選課說明: 2 | 備註: 0","無","",""
"005 04330_9","服務學習三社會服務","StuAct","","TBA","TBA","陳明賢","英文名稱: Service Learning (Ⅲ) Social Service | 選課說明: 2 | 備註: 0","無","",""
"005 04330_10","服務學習三社會服務","StuAct","","TBA","TBA","江炯聰","英文名稱: Service Learning (Ⅲ) Social Service | 選課說明: 2 | 備註: 0","無","",""
"005 04330_11","服務學習三社會服務","StuAct","","TBA","TBA","馮 燕","英文名稱: Service Learning (Ⅲ) Social Service | 選課說明: 1 | 備註: 0","無","",""
"005 05220_01","服務學習二藝文服務","StuAct","","TBA","TBA","馮 燕","英文名稱: Service Learning (Ⅱ) Art and Literature Service | 選課說明: 2 | 備註: 0","無","",""
"005 05330_01","服務學習三藝文服務","StuAct","","TBA","TBA","馮 燕","英文名稱: Service Learning (Ⅲ) Art and Literature Service | 選課說明: 2 | 備註: 0","無","",""
"005 06220_1","服務學習二各級學校育樂營","StuAct","","TBA","TBA","廖婉君","英文名稱: Service Learning (Ⅱ)education and Amusement Camp | 選課說明: 2 | 備註: 0","無","",""
"005 06220_2","服務學習二各級學校育樂營","StuAct","","TBA","TBA","賴飛羆","英文名稱: Service Learning (Ⅱ)education and Amusement Camp | 選課說明: 2 | 備註: 0","無","",""
"005 06220_3","服務學習二各級學校育樂營","StuAct","","TBA","TBA","包宗和","英文名稱: Service Learning (Ⅱ)education and Amusement Camp | 選課說明: 1 | 備註: 0","無","",""
"005 06220_4","服務學習二各級學校育樂營","StuAct","","TBA","TBA","彭立沛","英文名稱: Service Learning (Ⅱ)education and Amusement Camp | 選課說明: 2 | 備註: 0","無","",""
"005 06220_5","服務學習二各級學校育樂營","StuAct","","TBA","TBA","詹森林","英文名稱: Service Learning (Ⅱ)education and Amusement Camp | 選課說明: 2 | 備註: 0","無","",""
"005 06220_6","服務學習二各級學校育樂營","StuAct","","TBA","TBA","陳毓文","英文名稱: Service Learning (Ⅱ)education and Amusement Camp | 選課說明: 2 | 備註: 0","無","",""
"005 06220_7","服務學習二各級學校育樂營","StuAct","","TBA","TBA","賴聰乾","英文名稱: Service Learning (Ⅱ)education and Amusement Camp | 選課說明: 2 | 備註: 0","無","",""
"005 06220_9","服務學習二各級學校育樂營","StuAct","","TBA","TBA","蔡振豐","英文名稱: Service Learning (Ⅱ)education and Amusement Camp | 選課說明: 1 | 備註: 0","無","",""
"005 06220_10","服務學習二各級學校育樂營","StuAct","","TBA","TBA","吳嘉苓","英文名稱: Service Learning (Ⅱ)education and Amusement Camp | 選課說明: 2 | 備註: 0","無","",""
"005 06220_11","服務學習二各級學校育樂營","StuAct","","TBA","TBA","陳 宏","英文名稱: Service Learning (Ⅱ)education and Amusement Camp | 選課說明: 2 | 備註: 0","無","",""
"005 06220_12","服務學習二各級學校育樂營","StuAct","","TBA","TBA","馮 燕","英文名稱: Service Learning (Ⅱ)education and Amusement Camp | 選課說明: 2 | 備註: 0","無","",""
"005 06220_13","服務學習二各級學校育樂營","StuAct","","TBA","TBA","楊乃冬","英文名稱: Service Learning (Ⅱ)education and Amusement Camp | 選課說明: 2 | 備註: 0","無","",""
"005 06330_1","服務學習三各級學校育樂營","StuAct","","TBA","TBA","廖婉君","英文名稱: Service Learning (Ⅲ) Education and Amusement Camp | 選課說明: 2 | 備註: 0","無","",""
"005 06330_2","服務學習三各級學校育樂營","StuAct","","TBA","TBA","賴飛羆","英文名稱: Service Learning (Ⅲ) Education and Amusement Camp | 選課說明: 2 | 備註: 0","無","",""
"005 06330_3","服務學習三各級學校育樂營","StuAct","","TBA","TBA","孫中興","英文名稱: Service Learning (Ⅲ) Education and Amusement Camp | 選課說明: 2 | 備註: 0","無","",""
"005 06330_4","服務學習三各級學校育樂營","StuAct","","TBA","TBA","彭立沛","英文名稱: Service Learning (Ⅲ) Education and Amusement Camp | 選課說明: 2 | 備註: 0","無","",""
"005 06330_5","服務學習三各級學校育樂營","StuAct","","TBA","TBA","詹森林","英文名稱: Service Learning (Ⅲ) Education and Amusement Camp | 選課說明: 2 | 備註: 0","無","",""
"005 06330_6","服務學習三各級學校育樂營","StuAct","","TBA","TBA","陳毓文","英文名稱: Service Learning (Ⅲ) Education and Amusement Camp | 選課說明: 2 | 備註: 0","無","",""
"005 06330_7","服務學習三各級學校育樂營","StuAct","","TBA","TBA","賴聰乾","英文名稱: Service Learning (Ⅲ) Education and Amusement Camp | 選課說明: 2 | 備註: 0","無","",""
"005 06330_8","服務學習三各級學校育樂營","StuAct","","TBA","TBA","歐陽宜璋","英文名稱: Service Learning (Ⅲ) Education and Amusement Camp | 選課說明: 2 | 備註: 0","無","",""
"005 06330_9","服務學習三各級學校育樂營","StuAct","","TBA","TBA","蔡振豐","英文名稱: Service Learning (Ⅲ) Education and Amusement Camp | 選課說明: 1 | 備註: 0","無","",""
"005 06330_10","服務學習三各級學校育樂營","StuAct","","TBA","TBA","吳嘉苓","英文名稱: Service Learning (Ⅲ) Education and Amusement Camp | 選課說明: 2 | 備註: 0","無","",""
"005 06330_11","服務學習三各級學校育樂營","StuAct","","TBA","TBA","陳 宏","英文名稱: Service Learning (Ⅲ) Education and Amusement Camp | 選課說明: 2 | 備註: 0","無","",""
"005 06330_12","服務學習三各級學校育樂營","StuAct","","TBA","TBA","林萬億","英文名稱: Service Learning (Ⅲ) Education and Amusement Camp | 選課說明: 2 | 備註: 0","無","",""
"005 06330_13","服務學習三各級學校育樂營","StuAct","","TBA","TBA","馮 燕","英文名稱: Service Learning (Ⅲ) Education and Amusement Camp | 選課說明: 2 | 備註: 0","無","",""
"005 06330_14","服務學習三各級學校育樂營","StuAct","","TBA","TBA","楊乃冬","英文名稱: Service Learning (Ⅲ) Education and Amusement Camp | 選課說明: 2 | 備註: 0","無","",""
"005 07220_01","服務學習二海外服務","StuAct","","TBA","TBA","陳家聲","英文名稱: Service Learning (Ⅱ) Overseas Service | 選課說明: 2 | 備註: 0","無","",""
"005 07330_1","服務學習三海外服務","StuAct","","TBA","TBA","陳家聲","英文名稱: Service Learning (Ⅲ) Overseas Service | 選課說明: 2 | 備註: 0","無","",""
"005 07330_2","服務學習三海外服務","StuAct","","TBA","TBA","周崇熙","英文名稱: Service Learning (Ⅲ) Overseas Service | 選課說明: 2 | 備註: 0","無","",""
"005 08220_1","服務學習二課業輔導","StuAct","","TBA","TBA","張文亮","英文名稱: Service Learning (Ⅱ) Academic Counseling | 選課說明: 2 | 備註: 0","無","",""
"005 08220_2","服務學習二課業輔導","StuAct","","TBA","TBA","葉怡玉","英文名稱: Service Learning (Ⅱ) Academic Counseling | 選課說明: 2 | 備註: 0","無","",""
"005 08220_3","服務學習二課業輔導","StuAct","","TBA","TBA","蔡振豐","英文名稱: Service Learning (Ⅱ) Academic Counseling | 選課說明: 1 | 備註: 0","無","",""
"005 08220_5","服務學習二課業輔導","StuAct","","TBA","TBA","林萬億","英文名稱: Service Learning (Ⅱ) Academic Counseling | 選課說明: 2 | 備註: 0","無","",""
"005 08220_6","服務學習二課業輔導","StuAct","","TBA","TBA","馮 燕","英文名稱: Service Learning (Ⅱ) Academic Counseling | 選課說明: 2 | 備註: 0","無","",""
"005 08220_7","服務學習二課業輔導","StuAct","","TBA","TBA","彭文正","英文名稱: Service Learning (Ⅱ) Academic Counseling | 選課說明: 2 | 備註: 0","無","",""
"005 08220_8","服務學習二課業輔導","StuAct","","TBA","TBA","盧桂珍","英文名稱: Service Learning (Ⅱ) Academic Counseling | 選課說明: 2 | 備註: 0","無","",""
"005 08220_9","服務學習二課業輔導","StuAct","","TBA","TBA","周崇熙","英文名稱: Service Learning (Ⅱ) Academic Counseling | 選課說明: 2 | 備註: 0","無","",""
"005 08330_1","服務學習三課業輔導","StuAct","","TBA","TBA","王雲東","英文名稱: Service Learning (Ⅲ) Academic Counseling | 選課說明: 2 | 備註: 0","無","",""
"005 08330_2","服務學習三課業輔導","StuAct","","TBA","TBA","盧桂珍","英文名稱: Service Learning (Ⅲ) Academic Counseling | 選課說明: 2 | 備註: 0","無","",""
"005 08330_3","服務學習三課業輔導","StuAct","","TBA","TBA","周崇熙","英文名稱: Service Learning (Ⅲ) Academic Counseling | 選課說明: 2 | 備註: 0","無","",""
"005 09220_2","服務學習二保育服務","StuAct","","TBA","TBA","李平篤","英文名稱: Service Learning (Ⅱ) Conservation Service | 選課說明: 2 | 備註: 0","無","",""
"005 09220_3","服務學習二保育服務","StuAct","","TBA","TBA","袁孝維","英文名稱: Service Learning (Ⅱ) Conservation Service | 選課說明: 2 | 備註: 0","無","",""
"005 09330_1","服務學習三保育服務","StuAct","","TBA","TBA","蘇璧伶","英文名稱: Service Learning (Ⅲ) Conservation Service | 選課說明: 2 | 備註: 0","無","",""
"005 09330_2","服務學習三保育服務","StuAct","","TBA","TBA","李平篤","英文名稱: Service Learning (Ⅲ) Conservation Service | 選課說明: 2 | 備註: 0","無","",""
"005 09330_3","服務學習三保育服務","StuAct","","TBA","TBA","袁孝維","英文名稱: Service Learning (Ⅲ) Conservation Service | 選課說明: 2 | 備註: 0","無","",""
"005 10220_01","服務學習二宿舍服務","StuAct","","TBA","TBA","馮 燕","英文名稱: Service Learning (Ⅱ) Residence Community Service | 選課說明: 1 | 備註: 0","無","",""
"005 10330_01","服務學習三宿舍服務","StuAct","","TBA","TBA","馮 燕","英文名稱: Service Learning (Ⅲ) Residence Community Service | 選課說明: 1 | 備註: 0","無","",""
"005 11220_1","服務學習（二）校內服務","StuAct","","TBA","TBA","張培仁","英文名稱: Service Learning (Ⅱ)school Support Service | 選課說明: 2 | 備註: 0","無","",""
"005 11220_2","服務學習（二）校內服務","StuAct","","TBA","TBA","劉啟群","英文名稱: Service Learning (Ⅱ)school Support Service | 選課說明: 2 | 備註: 0","無","",""
"005 11220_3","服務學習（二）校內服務","StuAct","","TBA","TBA","陳雪華","英文名稱: Service Learning (Ⅱ)school Support Service | 選課說明: 2 | 備註: 0","無","",""
"005 11220_4","服務學習（二）校內服務","StuAct","","TBA","TBA","袁孝維","英文名稱: Service Learning (Ⅱ)school Support Service | 選課說明: 2 | 備註: 0","無","",""
"005 11220_5","服務學習（二）校內服務","StuAct","","TBA","TBA","李坤培","英文名稱: Service Learning (Ⅱ)school Support Service | 選課說明: 2 | 備註: 0","無","",""
"005 11330_1","服務學習（三）校內服務","StuAct","","TBA","TBA","張培仁","英文名稱: Service Learning (Ⅲ)school Support Service | 選課說明: 2 | 備註: 0","無","",""
"005 11330_2","服務學習（三）校內服務","StuAct","","TBA","TBA","劉啟群","英文名稱: Service Learning (Ⅲ)school Support Service | 選課說明: 2 | 備註: 0","無","",""
"005 11330_3","服務學習（三）校內服務","StuAct","","TBA","TBA","陳雪華","英文名稱: Service Learning (Ⅲ)school Support Service | 選課說明: 2 | 備註: 0","無","",""
"005 11330_4","服務學習（三）校內服務","StuAct","","TBA","TBA","謝尚賢","英文名稱: Service Learning (Ⅲ)school Support Service | 選課說明: 2 | 備註: 0","無","",""
"101 00110_1","服務學習一","CHIN","","Mon 09:10-10:00","TBA","張寶三","英文名稱: Student Service Education (Ⅰ) | 選課說明: 2 | 備註: 0","無","",""
"101 00110_2","服務學習一","CHIN","","TBA","TBA","徐芳敏","英文名稱: Student Service Education (Ⅰ) | 選課說明: 2 | 備註: 0","無","",""
"101 00220_1","服務學習二","CHIN","","TBA","TBA","蔡璧名","英文名稱: Student Service Education (Ⅱ) | 選課說明: 2 | 備註: 0","無","",""
"101 00220_2","服務學習二","CHIN","","TBA","TBA","林宏佳","英文名稱: Student Service Education (Ⅱ) | 選課說明: 2 | 備註: 0","無","",""
"101 00330_1","服務學習三","CHIN","","TBA","TBA","徐聖心","英文名稱: Student Service Education (Ⅲ) | 選課說明: 2 | 備註: 0","無","",""
"101 00330_2","服務學習三","CHIN","","TBA","TBA","鄭吉雄","英文名稱: Student Service Education (Ⅲ) | 選課說明: 2 | 備註: 0","無","",""
"101 13300_01","唐詩選讀","CHIN","2","TBA","共302","沈凡玉","英文名稱: Selected Readings in Poetry of Tang Dynasty | 選課說明: 2 | 備註: 0","無","","5"
"101 13400_01","明清小說選讀","CHIN","2","TBA","新501","蔡祝青","英文名稱: Selected Readings in Fiction of the Ming-ching Dynasty | 選課說明: 2 | 備註: 0","無","","5"
"101 13500_01","陶淵明與人境生活","CHIN","3","TBA","普204","蔡 瑜","英文名稱: Tao Yuan-Ming and the life of inhabited world | 選課說明: 2 | 備註: 0","無","",""
"101 14102_01","國學導讀下","CHIN","2","TBA","共103","黃啟書","英文名稱: Introduction to Classical Chinese Studies (2) | 選課說明: 2 | 備註: 1","Y","",""
"101 14202_01","中國歷史與文化下","CHIN","2","TBA","共402","彭美玲","英文名稱: Chinese History and Culture (2) | 選課說明: 2 | 備註: 1","Y","",""
"101 15812_01","現代中文及習作一下","CHIN","3","TBA","共302","林宏佳","英文名稱: Modern Chinese and Composition (Ⅰ)(2) | 選課說明: 2 | 備註: 1","Y","",""
"101 15822_01","現代中文及習作二下","CHIN","3","TBA","共401","高嘉謙","英文名稱: Modern Chinese and Composition (Ⅱ)(2) | 選課說明: 2 | 備註: 1","Y","",""
"101 15832_01","現代中文及習作三下","CHIN","3","TBA","新502","鄭毓瑜","英文名稱: Modern Chinese and Composition (Ⅲ)(2) | 選課說明: 2 | 備註: 1","Y","",""
"101 15912_01","古典詩文及習作一下","CHIN","3","TBA","共202","羅 因","英文名稱: Classical Chinese and Composition (Ⅰ)(2) | 選課說明: 2 | 備註: 1","Y","",""
"101 15922_01","古典詩文及習作二下","CHIN","3","TBA","共209","李文鈺","英文名稱: Classical Chinese and Composition (Ⅱ)(2) | 選課說明: 2 | 備註: 1","Y","",""
"101 161B2_01","現代散文選下","CHIN","2","TBA","普102","柯慶明","英文名稱: Readings in Modern Chinese Prose (2) | 選課說明: 2 | 備註: 0","Y","","20"
"101 163A2_01","現代小說選下","CHIN","2","TBA","共306","陳翠英","英文名稱: Readings in Modern Chinese Fiction (2) | 選課說明: 2 | 備註: 0","Y","","10"
"101 16702_01","現代文學導論下","CHIN","2","TBA","普202","張 健","英文名稱: Introduction to Modern Literature(2) (2) | 選課說明: 2 | 備註: 0","Y","","10"
"101 18102_01","文學概論下","CHIN","2","TBA","新102","陳志信","英文名稱: Introduction to Literature (2) | 選課說明: 2 | 備註: 1","Y","",""
"101 19600_01","先秦書法史","CHIN","2","TBA","文20","周鳳五","英文名稱: History of Chinese Calligraphy in the Pre-chin Period | 選課說明: 2 | 備註: 0","無","","5"
"101 19802_01","初級中國文字學下","CHIN","2","TBA","共304","丁 亮","英文名稱: Introduction to Chinese Characters ( Including Calligraphy)(2) | 選課說明: 2 | 備註: 1","Y","",""
"101 211B2_01","文字學乙下","CHIN","2","TBA","共105","徐富昌","英文名稱: Chinese Paleography (b)(2) | 選課說明: 2 | 備註: 1","Y","",""
"101 212A2_01","語言學概論甲下","CHIN","2","TBA","共103","魏岫明","英文名稱: Introduction to Linguistics (a) (2) | 選課說明: 2 | 備註: 1","Y","","10"
"101 220A2_01","四書甲下","CHIN","2","TBA","普505","蔡振豐","英文名稱: Four Books (a)(2) | 選課說明: 2 | 備註: 0","Y","",""
"101 222B2_01","左傳乙下","CHIN","2","TBA","普404","李隆獻","英文名稱: Tso Chuan (b)(2) | 選課說明: 2 | 備註: 0","Y","","5"
"101 24920_01","中國文學史概說二","CHIN","3","TBA","博雅312","李惠綿","英文名稱: The Introduction of Chinese Literature History (Ⅱ) | 選課說明: 2 | 備註: 0","無","","5"
"101 25102_01","中國文學史下","CHIN","3","TBA","普203","歐麗娟","英文名稱: History of Chinese Literature (2) | 選課說明: 2 | 備註: 1","Y","",""
"101 25212_01","中國文學史一下","CHIN","2","TBA","共309","吳旻旻","英文名稱: History of Chinese Literature (2) | 選課說明: 2 | 備註: 1","Y","",""
"101 25222_01","中國文學史二下","CHIN","2","TBA","新502","潘少瑜","英文名稱: History of Chinese Literature (Ⅱ)(2) | 選課說明: 2 | 備註: 1","Y","",""
"101 255A2_01","史記甲下","CHIN","2","TBA","文19","李偉泰","英文名稱: Shih Chi (a)(2) | 選課說明: 2 | 備註: 0","Y","","10"
"101 25902_01","漢書選讀下","CHIN","2","TBA","普503","宋淑萍","英文名稱: Han Shu (2) | 選課說明: 2 | 備註: 0","Y","","20"
"101 26002_1","歷代文選及習作下","CHIN","2","TBA","普302","謝佩芬","英文名稱: Readings in Chinese Prose with Writing Practece (2) | 選課說明: 2 | 備註: 1","Y","",""
"101 26002_2","歷代文選及習作下","CHIN","2","TBA","普502","盧桂珍","英文名稱: Readings in Chinese Prose with Writing Practece (2) | 選課說明: 2 | 備註: 1","Y","",""
"101 271A2_1","詩選及習作甲下","CHIN","2","TBA","普404","黃奕珍","英文名稱: Readings in Chinese Poetry with Writing Practice (a)(2) | 選課說明: 2 | 備註: 1","Y","",""
"101 271A2_2","詩選及習作甲下","CHIN","2","TBA","共311","曹淑娟","英文名稱: Readings in Chinese Poetry with Writing Practice (a)(2) | 選課說明: 2 | 備註: 1","Y","",""
"101 27702_01","現代詩選下","CHIN","2","TBA","普204","洪淑苓","英文名稱: Chinese Modern Poetry (2) | 選課說明: 3 | 備註: 0","Y","","10"
"101 28320_01","音樂作品欣賞二","CHIN","2","TBA","外教劇場","陳美鸞","英文名稱: Musical Appreciation (Ⅱ) | 選課說明: 2 | 備註: 0","無","",""
"101 311A2_01","聲韻學甲下","CHIN","2","TBA","普102","徐芳敏","英文名稱: Chinese Phonology (a)(2) | 選課說明: 2 | 備註: 1","Y","",""
"101 321A2_01","詩經甲下","CHIN","2","TBA","普202","張寶三","英文名稱: Shih Ching (a)(1) | 選課說明: 2 | 備註: 0","Y","","10"
"101 322A2_01","尚書甲下","CHIN","2","TBA","文17","蔣秋華","英文名稱: Shang Shu (a)(2) | 選課說明: 1 | 備註: 0","Y","",""
"101 32800_01","網路數位內容編輯學","CHIN","3","TBA","普506","吳統雄","英文名稱: Studies in Web-based Digital Content | 選課說明: 2 | 備註: 0","無","",""
"101 331A2_01","老子甲下","CHIN","2","TBA","文16","何澤恆","英文名稱: Lao Tsu (a) (2) | 選課說明: 2 | 備註: 0","Y","","5"
"101 332A2_01","莊子甲下","CHIN","2","TBA","普304","金嘉錫","英文名稱: Chuang Tsu (a)(2) | 選課說明: 2 | 備註: 0","Y","","20"
"101 35202_01","中國史地概論下","CHIN","2","TBA","文16","宋家復","英文名稱: Introduction to Chinese History and Geography (2) | 選課說明: 2 | 備註: 1","Y","",""
"101 35302_01","中國文物與風俗下","CHIN","2","TBA","共307","林永勝","英文名稱: Chinese Relics and Customs (2) | 選課說明: 2 | 備註: 1","Y","",""
"101 35802_01","二十二史的鼻祖:漢書下","CHIN","2","TBA","普503","宋淑萍","英文名稱: The Founder of Twenty-Two Histories : HAN SHU (2) | 選課說明: 2 | 備註: 0","Y","","20"
"101 36202_01","小說選下","CHIN","2","TBA","文18","康韻梅","英文名稱: Readings in Chinese Fiction (2) | 選課說明: 2 | 備註: 0","Y","","10"
"101 36402_01","世說新語下","CHIN","2","TBA","普305","張蓓蓓","英文名稱: Shih Shuo Shin Yu (2) | 選課說明: 2 | 備註: 0","Y","","5"
"101 373B2_01","戲曲選下","CHIN","2","TBA","博雅312","李惠綿","英文名稱: Resdings in Chinese Drama (2) | 選課說明: 2 | 備註: 0","Y","","5"
"101 37402_01","詞選及習作下","CHIN","2","TBA","普102","劉少雄","英文名稱: Readings in Tzu (with Writing Practice) (2) | 選課說明: 2 | 備註: 0","Y","","20"
"101 37900_01","宋詩選讀二","CHIN","2","TBA","普503","黃奕珍","英文名稱: Select Readings in Poetry of Sung Dynasty (Ⅱ) | 選課說明: 2 | 備註: 0","無","","10"
"101 40702_01","紅樓夢二下","CHIN","2","TBA","博雅102","歐麗娟","英文名稱: Red Chamber Dreams Ⅱ (2) | 選課說明: 2 | 備註: 0","Y","","70"
"101 40802_01","先秦道家思想系譜下","CHIN","2","TBA","普201","徐聖心","英文名稱: Taoism Pedigree of the Pre-Qin Dynasty (2) | 選課說明: 2 | 備註: 0","無","","10"
"101 41000_01","儒學主題導讀二","CHIN","2","TBA","普302","伍振勳","英文名稱: Introduction to Confucianism (Ⅱ) | 選課說明: 2 | 備註: 0","無","","10"
"101 41102_01","訓詁學下","CHIN","2","TBA","普502","張寶三","英文名稱: Semantics (2) | 選課說明: 2 | 備註: 1","Y","",""
"101 41202_01","中國思想史下","CHIN","3","TBA","共103","鄭吉雄","英文名稱: History of Chinese Thought (2) | 選課說明: 2 | 備註: 1","Y","",""
"101 42002_01","戰國策下","CHIN","2","TBA","普504","張 健","英文名稱: Stratagems of the Warring States (2) | 選課說明: 2 | 備註: 0","Y","","10"
